1265127420 0 1 0 0
1265128976 0 2 0 0
1265131930 0 3 0 0
1265133426 0 4 0 0
1265305772 0 5 0 0
1269532963 0 6 0 0
1269958697 0 7 0 0
1269967415 0 8 0 0
1275497721 0 9 0 0
1276254106 0 10 0 0
1276525828 0 11 0 0
1276596141 0 12 0 0
1288345441 1 12 0 0
1288356918 2 12 0 0
1288362258 3 12 0 0
1288362725 4 12 0 0
1288379395 4 12 1 0
1288388057 5 12 1 0
1288621660 6 12 1 0
1289219514 7 12 1 0
1289223302 7 12 1 1
1292347353 7 12 2 1
1292430699 7 12 3 1
1292434038 7 12 4 1
1292587483 8 12 4 1
1292587678 9 12 4 1
1292595319 10 12 4 1
1292596419 11 12 4 1
1298280602 12 12 4 1
1308237971 13 12 4 1
1308245402 14 12 4 1
1310934005 15 12 4 1
1310935553 16 12 4 1
1315267757 17 12 4 1
1315267926 18 12 4 1
1328802022 19 12 4 1
1329834898 20 12 4 1
1329835000 21 12 4 1
1329835049 22 12 4 1
1329836116 23 12 4 1
1333640447 24 12 4 1
1333759490 25 12 4 1
1334170780 26 12 4 1
1334171565 27 12 4 1
1334171666 28 12 4 1
1334171843 29 12 4 1
1335440639 30 12 4 1
1335440719 31 12 4 1
1339507144 32 12 4 1
