http://cloc.sourceforge.net v 1.53  T=3.0 s (60.0 files/s, 14649.3 lines/s)
---------------------------------------------------------------------------------------------------------------------
File                                                                              blank        comment           code
RDFDatabank/rdfdatabank/tests/testdata/unicodedata/unicode08.xml                      0              0             32
RecordSilo/recordsilo/rdfmanifest.py                                                 12              2             31
RDFDatabank/rdfdatabank/tests/testdata/unicodedata/unicode05.xml                      0              0             31
RDFDatabank/rdfdatabank/templates/part_list_display.html                              1              0             31
RDFDatabank/rdfdatabank/templates/update_user_role.html                               0              0             30
RDFDatabank/rdfdatabank/templates/list_of_silos.html                                  0              0             30
RDFDatabank/add_user.py                                                               4              3             30
RDFDatabank/rdfdatabank/websetup.py                                                  27            133             30
RDFDatabank/rdfdatabank/tests/testdata/unicodedata/unicode06.xml                      0              0             29
RDFDatabank/rdfdatabank/tools/broadcastDatasets.py                                    9             20             29
RDFDatabank/rdfdatabank/config/middleware.py                                         22             59             29
RDFDatabank/rdfdatabank/tests/testdata/unicodedata/unicode07.xml                      0              0             29
RDFDatabank/rdfdatabank/config/environment.py                                        14             29             29
RDFDatabank/rdfdatabank/templates/update_user.html                                    5              0             29
RDFDatabank/rdfdatabank/tests/RDFDatabankConfig-Jenkins.py                           15             40             27
RDFDatabank/rdfdatabank/tests/RDFDatabankConfig.py                                   14             37             27
RDFDatabank/rdfdatabank/lib/reqclassifier.py                                          9             31             26
RDFDatabank/rdfdatabank/tools/populateTable.py                                        6              0             26
RDFDatabank/rdfdatabank/templates/create_new_silo.html                                0              0             25
RDFDatabank/rdfdatabank/templates/siloview.html                                       0              0             24
RDFDatabank/rdfdatabank/tools/renamingSymLinks.py                                    15             41             24
RDFDatabank/rdfdatabank/templates/add_users_to_silo.html                              0              0             23
RDFDatabank/rdfdatabank/templates/list_of_zipfiles.html                               0              0             23
RDFDatabank/rdfdatabank/tests/testdata/unicodedata/unicode02.xml                      0              0             22
RDFDatabank/rdfdatabank/tests/testdata/unicodedata/unicode01.xml                      0              0             22
RDFDatabank/setup.py                                                                  2             12             22
RDFDatabank/rdfdatabank/templates/files_unpack.html                                   0              0             21
RDFDatabank/rdfdatabank/tests/testdata/unicodedata/unicode09.xml                      0              0             21
RDFDatabank/rdfdatabank/templates/admin_users.html                                    0              0             20
RDFDatabank/rdfdatabank/lib/helpers.py                                                8             27             19
